#{"t_start": 1626962665.03672, "env_id": "fertilization-v0"}
r,l,t
-1663.78546,30,271.799589
-1380.0,30,272.730296
-1362.551183,30,273.659599
-1103.222989,30,274.588997
-1149.930844,30,275.518307
-1808.952963,30,276.448697
-1314.440764,30,277.376272
-988.44793,30,278.296171
-1451.920168,30,279.226331
-1322.927371,30,280.255175
-1421.471814,30,281.525449
-1784.929458,30,282.449636
-1728.433445,30,283.327523
-1370.572239,30,284.562274
-2106.977954,30,285.443058
-1487.110038,30,286.32016
-1990.051157,30,287.399715
-1341.000302,30,288.368161
-1556.545244,30,289.375884
-1566.860209,30,290.361804
-1554.84915,30,291.309435
-1322.567091,30,292.283503
-1598.102334,30,293.256535
-1488.162946,30,294.447798
-1348.273176,30,295.517938
-1527.184101,30,296.483705
-1176.543956,30,297.443408
-1440.0,30,298.400375
-1478.102334,30,299.296887
-1825.140855,30,300.34385
-1740.0,30,301.371374
-1224.146163,30,302.531953
-1849.251879,30,303.501214
-1833.469164,30,304.476113
-1385.006135,30,305.401555
-1553.469164,30,306.351981
-995.603918,30,307.308684
-1102.927371,30,308.332816
-1429.596892,30,309.330746
-1030.545137,30,310.366237
-1014.919635,30,311.343897
-1701.401007,30,312.314609
-958.177313,30,313.270709
-1347.384539,30,314.294751
-1326.860209,30,315.599163
-1442.179001,30,316.556255
-1373.01976,30,317.677311
-1528.383835,30,318.682498
-1720.635192,30,319.681602
-1229.439123,30,320.662221
-1288.105422,30,321.629119
-1209.930844,30,322.594017
-1565.553577,30,323.554739
-1176.545244,30,324.512824
-1954.448761,30,325.574527
-1652.811425,30,326.723102
-1955.813653,30,327.734514
-996.006478,30,328.705647
-1457.652527,30,329.891914
-1601.30586,30,331.037693
-737.407221,30,332.161645
-1827.320436,30,333.558505
-1669.930844,30,334.810578
-1316.006478,30,335.912497
-1744.732262,30,337.139554
-1512.612754,30,338.531734
-1337.391289,30,339.873606
-1229.783121,30,341.222074
-918.177313,30,342.690226
-737.357052,30,343.992927
-790.545137,30,345.26889
-1657.407221,30,346.588132
-1531.080633,30,347.994994
-2066.708774,30,349.305763
-952.612754,30,350.79275
-1589.431349,30,352.090615
-1492.938437,30,353.280296
-1688.166039,30,354.405516
-1565.111795,30,356.239359
-1642.179001,30,357.608699
-1466.013893,30,358.912331
-1733.185396,30,360.159976
-1272.064077,30,361.325355
-1314.919635,30,363.183713
-1391.035297,30,364.607099
-1480.0,30,365.848305
-1648.166039,30,367.632197
-1224.997371,30,368.815194
-1835.241474,30,370.272628
-1260.319308,30,372.286415
-2027.9717,30,373.507307
-1555.603918,30,375.128016
-1849.783121,30,377.06331
-1795.241474,30,378.363116
-1583.584284,30,379.614694
-1010.432499,30,381.344336
-1283.535478,30,383.076164
-1709.87964,30,384.600154
-1645.641728,30,386.285739
-1337.278577,30,388.109689
-1557.49344,30,389.869709
-1229.219075,30,391.406818
-1647.695729,30,393.079602
-1350.658803,30,394.698382
-1524.700012,30,396.16228
-1472.006391,30,397.758676
-1466.210474,30,399.549193
-1725.575546,30,401.081816
-1256.423566,30,402.482437
-899.453861,30,403.770023
-1118.102334,30,405.611517
-1807.124547,30,407.445784
-1932.811425,30,409.275314
-1701.471814,30,410.551398
-1463.720177,30,412.063739
-1391.707777,30,413.431022
-1386.708774,30,415.316051
-1417.391289,30,416.710452
-1725.156813,30,418.169166
-1576.050101,30,419.423388
-1484.997371,30,420.807046
-1729.251879,30,422.967859
-1656.543956,30,424.679673
-1554.448761,30,426.474834
-1391.793184,30,427.857568
-1553.180988,30,429.315067
-1204.929458,30,430.583976
-1376.213436,30,431.678287
-1526.998912,30,432.562324
-1572.613609,30,433.442722
-1497.985158,30,434.320239
-1116.719908,30,435.209352
-865.156813,30,436.112599
-1497.652527,30,436.988469
-1290.379496,30,437.870175
-1225.771067,30,438.747808
-1150.289951,30,439.622056
-1509.596892,30,440.495344
-1226.101507,30,441.372853
-1008.952963,30,442.249094
-1254.035478,30,443.124575
-1585.955184,30,444.001482
-813.759279,30,444.875305
-1491.096615,30,445.790479
-1683.121609,30,446.949559
-1487.320436,30,447.904563
-1109.930844,30,449.041039
-1392.480975,30,449.916328
-1742.296037,30,450.788496
-1639.851484,30,451.659621
-1388.716126,30,452.529489
-1965.284906,30,453.404337
-1387.712533,30,454.278659
-1117.876693,30,455.171067
-1589.431349,30,456.063015
-1500.0,30,456.988732
-1417.775853,30,457.909965
-1554.448761,30,458.841532
-1458.232848,30,459.784892
-1451.035297,30,460.715962
-1743.78546,30,461.647357
-1513.597708,30,462.576749
-1361.401007,30,463.506791
-1481.401007,30,464.446655
-1050.545137,30,465.35319
-1525.955184,30,466.256877
-1506.998912,30,467.147475
-1229.675957,30,468.03332
-1486.541668,30,468.913322
-1332.811425,30,469.792355
-1636.503408,30,470.67274
-1746.210474,30,471.594623
-1776.543956,30,472.523661
-1778.362926,30,473.464041
-1640.0,30,474.396998
-1345.771067,30,475.333185
-1072.064077,30,476.225427
-1012.613609,30,477.125694
-1108.343899,30,478.002115
-1348.162946,30,478.880944
-1323.66276,30,479.939539
-1600.0,30,480.811018
-1653.01976,30,481.681397
-1071.162645,30,482.551073
-1622.40399,30,483.426317
-1087.184101,30,484.299905
-1876.543956,30,485.185274
-1248.343899,30,486.079275
-1519.085441,30,486.951267
-1448.343899,30,487.821726
-1363.78546,30,488.696432
-1668.916754,30,489.62587
-1556.050101,30,490.558271
-1246.316483,30,491.489829
-1137.876693,30,492.421225
-1745.896322,30,493.349574
-1350.572239,30,494.279201
-1640.0,30,495.208602
-1342.920727,30,496.138236
-1681.401007,30,497.070083
-1408.273176,30,497.999619
-1278.102334,30,498.92919
-1378.362926,30,499.863647
-1816.842813,30,500.796648
-2069.818154,30,501.709065
-1480.0,30,502.579115
-1465.896322,30,503.456656
-1492.811425,30,504.325578
-1622.179001,30,505.200884
-1887.124547,30,506.071476
-1640.319308,30,506.939879
-1288.162946,30,507.817064
-1604.01876,30,508.688934
-1521.536979,30,509.557274
-1469.87964,30,510.432699
-1331.080633,30,511.500141
-1660.0,30,512.38001
-1327.184101,30,513.253922
-1629.526613,30,514.129853
-1297.85261,30,515.009695
-1396.503408,30,515.885328
-1611.754684,30,516.759854
-1605.553577,30,517.633291
-1427.648793,30,518.517529
-1042.927371,30,519.415087
-1292.612754,30,520.349066
-1623.720177,30,521.282057
-2060.0,30,522.215805
-1603.534146,30,523.14849
-1457.762676,30,524.090366
-1295.700439,30,525.022059
-1745.909862,30,525.955196
-1747.460782,30,526.886621
-966.316483,30,527.808024
-1358.362926,30,528.749816
-1217.052545,30,529.683004
-1253.469164,30,530.61857
-1525.521966,30,531.548715
-1160.0,30,532.482591
-1485.771067,30,533.424949
-1191.080633,30,534.356606
-1734.448761,30,535.286624
-1576.291433,30,536.218664
-1012.470593,30,537.149552
-1099.453861,30,538.084061
-1648.44793,30,539.011015
-1704.700012,30,539.943583
-1229.930844,30,540.878394
-1708.433445,30,541.811616
-1185.955184,30,542.909282
-1371.566985,30,543.782091
-1056.545244,30,544.653319
-1880.0,30,545.529619
-1054.929642,30,546.401979
-1825.284906,30,547.284189
-1563.78546,30,548.218306
-905.006135,30,549.153891
-1449.930844,30,550.0886
-1210.379496,30,551.021721
-1063.66276,30,551.954477
-1428.264697,30,552.887542
-1427.184101,30,553.815218
-999.867949,30,554.74953
-1118.232848,30,555.68134
-1217.49344,30,556.612128
-1777.804472,30,557.547738
-1960.0,30,558.864201
-1624.01876,30,560.071399
-1071.566985,30,561.280755
-1711.793184,30,562.444673
-1143.534146,30,563.629292
-1484.777931,30,564.726124
-1636.213436,30,565.867646
-1257.407221,30,566.992773
-1685.156813,30,568.160039
-1567.320436,30,569.311821
-1304.997371,30,570.432828
-1724.146163,30,571.600748
-1151.920168,30,573.170453
-1638.232848,30,574.527318
-1296.291433,30,575.801063
-1648.800166,30,577.007286
-1396.423566,30,578.19377
-1720.0,30,579.657338
-1400.0,30,580.815263
-1248.44793,30,581.942816
-1301.471814,30,583.099348
-1440.0,30,584.242018
-1366.316483,30,585.439736
-1417.985158,30,586.588921
-1212.811425,30,587.701317
-1507.801863,30,588.880048
-992.480975,30,590.008833
-1162.179001,30,591.136017
-1567.470424,30,592.241423
-1104.961548,30,593.352677
-1232.480975,30,594.465347
-1042.551183,30,595.574949
-1248.800166,30,596.711741
-1285.84857,30,597.824747
-1505.909862,30,598.948966
-974.758887,30,600.065565
-2020.906234,30,601.18177
-1524.01876,30,602.289601
-894.919635,30,603.395773
-1380.538358,30,604.644597
-1259.453861,30,605.903004
-1460.0,30,607.244499
-960.546971,30,608.544778
-1428.952963,30,609.421206
-1272.006391,30,610.295235
-1057.85261,30,611.172891
-1525.323484,30,612.161938
-1407.712533,30,613.26151
-1547.470424,30,614.186292
-1219.867949,30,615.133765
-1548.264697,30,616.126524
-1268.44793,30,617.3771
-1548.716126,30,618.409929
-1212.091657,30,619.408026
-1655.241474,30,620.350076
-1328.383835,30,621.288761
-1503.222989,30,622.225693
-1200.0,30,623.231362
-1112.470593,30,624.177058
-1687.470424,30,625.083444
-1705.553577,30,625.970832
-1519.296445,30,626.848847
-1585.896322,30,627.727671
-1307.184101,30,628.607986
-1461.494182,30,629.488193
-1082.40399,30,630.367141
-1547.320436,30,631.246575
-1050.379496,30,632.12384
-724.961548,30,633.000612
-1724.01876,30,633.877218
-1454.919635,30,634.755634
-1985.284906,30,635.631966
-1599.765031,30,636.510531
-1568.166039,30,637.394114
-1364.27478,30,638.273922
-1017.357052,30,639.152244
-994.440764,30,640.035617
-1029.439123,30,640.913626
-1727.173278,30,641.80204
-1519.085441,30,642.779494
-1332.504198,30,643.689537
-1651.793184,30,644.575447
-1668.433445,30,645.461255
-1805.896322,30,646.434209
-1095.214379,30,647.345277
-1320.319308,30,648.462378
-1216.719908,30,649.355762
-1583.837079,30,650.278823
-972.470593,30,651.221135
-1303.535478,30,652.176266
-1865.84857,30,653.076693
-1452.504198,30,653.981258
-1380.871143,30,654.877131
-1217.357052,30,655.852341
-1331.566985,30,656.787868
-1389.887478,30,657.734111
-1640.906234,30,658.668727
-1548.916754,30,659.606688
-1534.350045,30,660.497183
-1064.27478,30,661.427909
